ORM|test_ORM_145_category_model_structure_default_values[Category-level-100]|tests/01.2_db_orm/test_category.py::test_ORM_145_category_model_structure_default_values[Category-level-100]|PASSED|0.001009|parametrize
ORM|test_ORM_146_category_model_structure_column_lengths[Category-name-100]|tests/01.2_db_orm/test_category.py::test_ORM_146_category_model_structure_column_lengths[Category-name-100]|PASSED|0.000647|parametrize
ORM|test_ORM_146_category_model_structure_column_lengths[Category-slug-120]|tests/01.2_db_orm/test_category.py::test_ORM_146_category_model_structure_column_lengths[Category-slug-120]|PASSED|0.000729|parametrize
ORM|test_ORM_147_category_model_structure_unique_fields[Category-id-True]|tests/01.2_db_orm/test_category.py::test_ORM_147_category_model_structure_unique_fields[Category-id-True]|PASSED|0.000643|parametrize
ORM|test_ORM_147_category_model_structure_unique_fields[Category-name-False]|tests/01.2_db_orm/test_category.py::test_ORM_147_category_model_structure_unique_fields[Category-name-False]|PASSED|0.000653|parametrize
ORM|test_ORM_147_category_model_structure_unique_fields[Category-slug-True]|tests/01.2_db_orm/test_category.py::test_ORM_147_category_model_structure_unique_fields[Category-slug-True]|PASSED|0.000751|parametrize
ORM|test_ORM_147_category_model_structure_unique_fields[Category-is_active-False]|tests/01.2_db_orm/test_category.py::test_ORM_147_category_model_structure_unique_fields[Category-is_active-False]|PASSED|0.000777|parametrize
ORM|test_ORM_147_category_model_structure_unique_fields[Category-level-False]|tests/01.2_db_orm/test_category.py::test_ORM_147_category_model_structure_unique_fields[Category-level-False]|PASSED|0.001071|parametrize
ORM|test_ORM_150_order_model_structure_table_exists|tests/01.2_db_orm/test_order.py::test_ORM_150_order_model_structure_table_exists|PASSED|0.000646|
ORM|test_ORM_151_order_model_structure_nullable_constraints[Order-order_id-False]|tests/01.2_db_orm/test_order.py::test_ORM_151_order_model_structure_nullable_constraints[Order-order_id-False]|PASSED|0.000795|parametrize
ORM|test_ORM_151_order_model_structure_nullable_constraints[Order-user-False]|tests/01.2_db_orm/test_order.py::test_ORM_151_order_model_structure_nullable_constraints[Order-user-False]|PASSED|0.000654|parametrize
ORM|test_ORM_151_order_model_structure_nullable_constraints[Order-product-False]|tests/01.2_db_orm/test_order.py::test_ORM_151_order_model_structure_nullable_constraints[Order-product-False]|PASSED|0.000752|parametrize
ORM|test_ORM_151_order_model_structure_nullable_constraints[Order-quantity-False]|tests/01.2_db_orm/test_order.py::test_ORM_151_order_model_structure_nullable_constraints[Order-quantity-False]|PASSED|0.00068|parametrize
ORM|test_ORM_152_order_model_structure_column_data_types[Order-order_id-AutoField]|tests/01.2_db_orm/test_order.py::test_ORM_152_order_model_structure_column_data_types[Order-order_id-AutoField]|PASSED|0.001442|parametrize
ORM|test_ORM_152_order_model_structure_column_data_types[Order-user-ForeignKey]|tests/01.2_db_orm/test_order.py::test_ORM_152_order_model_structure_column_data_types[Order-user-ForeignKey]|PASSED|0.000682|parametrize
ORM|test_ORM_152_order_model_structure_column_data_types[Order-product-ForeignKey]|tests/01.2_db_orm/test_order.py::test_ORM_152_order_model_structure_column_data_types[Order-product-ForeignKey]|PASSED|0.00072|parametrize
ORM|test_ORM_152_order_model_structure_column_data_types[Order-quantity-IntegerField]|tests/01.2_db_orm/test_order.py::test_ORM_152_order_model_structure_column_data_types[Order-quantity-IntegerField]|PASSED|0.000723|parametrize
ORM|test_ORM_16_product_model_structure_table_exists|tests/01.2_db_orm/test_product.py::test_ORM_16_product_model_structure_table_exists|PASSED|0.000708|
ORM|test_ORM_161_product_model_structure_column_data_types[Product-id-AutoField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-id-AutoField]|PASSED|0.000718|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-pid-CharField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-pid-CharField]|PASSED|0.001198|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-name-CharField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-name-CharField]|PASSED|0.000795|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-slug-SlugField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-slug-SlugField]|PASSED|0.000717|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-description-TextField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-description-TextField]|PASSED|0.000828|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-is_digital-BooleanField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-is_digital-BooleanField]|PASSED|0.000699|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-created_at-DateTimeField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-created_at-DateTimeField]|PASSED|0.000765|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-updated_at-DateTimeField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-updated_at-DateTimeField]|PASSED|0.001468|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-is_active-BooleanField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-is_active-BooleanField]|PASSED|0.000837|parametrize
ORM|test_ORM_161_product_model_structure_column_data_types[Product-stock_status-CharField]|tests/01.2_db_orm/test_product.py::test_ORM_161_product_model_structure_column_data_types[Product-stock_status-CharField]|PASSED|0.000671|parametrize
ORM|test_ORM_162_product_model_structure_field_count[Product-10]|tests/01.2_db_orm/test_product.py::test_ORM_162_product_model_structure_field_count[Product-10]|PASSED|0.00072|parametrize
ORM|test_ORM_163_product_model_structure_m2m_relation_key[Product-category-ManyToManyField-Category]|tests/01.2_db_orm/test_product.py::test_ORM_163_product_model_structure_m2m_relation_key[Product-category-ManyToManyField-Category]|PASSED|0.004001|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-id-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-id-False]|PASSED|0.001272|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-pid-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-pid-False]|PASSED|0.00066|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-name-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-name-False]|PASSED|0.001089|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-slug-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-slug-False]|PASSED|0.000793|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-description-True]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-description-True]|PASSED|0.000758|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-is_digital-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-is_digital-False]|PASSED|0.00103|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-created_at-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-created_at-False]|PASSED|0.000869|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-updated_at-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-updated_at-False]|PASSED|0.000928|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-is_active-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-is_active-False]|PASSED|0.000806|parametrize
ORM|test_ORM_164_product_model_structure_nullable_constraints[Product-stock_status-False]|tests/01.2_db_orm/test_product.py::test_ORM_164_product_model_structure_nullable_constraints[Product-stock_status-False]|PASSED|0.000722|parametrize
ORM|test_ORM_165_product_model_structure_default_values[Product-is_digital-False]|tests/01.2_db_orm/test_product.py::test_ORM_165_product_model_structure_default_values[Product-is_digital-False]|PASSED|0.000631|parametrize
ORM|test_ORM_165_product_model_structure_default_values[Product-is_active-False]|tests/01.2_db_orm/test_product.py::test_ORM_165_product_model_structure_default_values[Product-is_active-False]|PASSED|0.001217|parametrize
ORM|test_ORM_165_product_model_structure_default_values[Product-stock_status-OOS]|tests/01.2_db_orm/test_product.py::test_ORM_165_product_model_structure_default_values[Product-stock_status-OOS]|PASSED|0.000896|parametrize
ORM|test_ORM_166_product_model_structure_column_lengths[Product-pid-255]|tests/01.2_db_orm/test_product.py::test_ORM_166_product_model_structure_column_lengths[Product-pid-255]|PASSED|0.000963|parametrize
ORM|test_ORM_166_product_model_structure_column_lengths[Product-name-200]|tests/01.2_db_orm/test_product.py::test_ORM_166_product_model_structure_column_lengths[Product-name-200]|PASSED|0.001006|parametrize
ORM|test_ORM_166_product_model_structure_column_lengths[Product-slug-220]|tests/01.2_db_orm/test_product.py::test_ORM_166_product_model_structure_column_lengths[Product-slug-220]|PASSED|0.000803|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-id-True]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-id-True]|PASSED|0.001068|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-pid-True]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-pid-True]|PASSED|0.000876|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-name-True]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-name-True]|PASSED|0.000958|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-slug-True]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-slug-True]|PASSED|0.000817|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-description-False]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-description-False]|PASSED|0.00077|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-is_digital-False]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-is_digital-False]|PASSED|0.000738|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-created_at-False]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-created_at-False]|PASSED|0.001236|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-updated_at-False]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-updated_at-False]|PASSED|0.000869|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-is_active-False]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-is_active-False]|PASSED|0.00073|parametrize
ORM|test_ORM_167_product_model_structure_unique_fields[Product-stock_status-False]|tests/01.2_db_orm/test_product.py::test_ORM_167_product_model_structure_unique_fields[Product-stock_status-False]|PASSED|0.00077|parametrize
VWS|test_VWS_172_homepage_using_factory|tests/03_views/test_homepage.py::test_VWS_172_homepage_using_factory|PASSED|0.475057|
VWS|test_VWS_175_homepage_returns_correct_response_client_and_context|tests/03_views/test_homepage.py::test_VWS_175_homepage_returns_correct_response_client_and_context|PASSED|0.019755|
VWS|test_VWS_170_homepage_returns_correct_response|tests/03_views/test_homepage_testcase.py::TestHomePage::test_VWS_170_homepage_returns_correct_response|PASSED|0.008429|
VWS|test_VWS_171_homepage_returns_correct_title|tests/03_views/test_homepage_testcase.py::TestHomePage::test_VWS_171_homepage_returns_correct_title|PASSED|0.006665|
VWS|test_VWS_172_homepage_using_factory|tests/03_views/test_homepage_testcase.py::TestHomePage::test_VWS_172_homepage_using_factory|PASSED|0.007653|
VWS|test_VWS_177_registerPage_returns_correct_response_request_factory|tests/03_views/test_register_page.py::test_VWS_177_registerPage_returns_correct_response_request_factory|PASSED|0.020289|
VWS|test_VWS_330_registerPage_returns_correct_template_testcase|tests/03_views/test_register_page.py::test_VWS_330_registerPage_returns_correct_template_testcase|PASSED|0.021249|
